StudentID,ClassesAndGrades
LZ9TRTZS,"{'344067': 'D', '665858': 'A', '498747': 'C', '627876': 'A'}"
QRLKY52P,"{'685089': 'A', '948365': 'D', '558407': 'D', '409004': 'F'}"
9ZIOKM1Y,"{'613772': 'F', '279278': 'D', '379942': 'D', '483873': 'C'}"
JKHKB1AU,"{'990961': 'F', '216991': 'B', '524163': 'F', '318086': 'D'}"
8EJ2KSTV,"{'919872': 'F', '665858': 'A', '279278': 'D', '131453': 'F'}"
R5SO076V,"{'408132': 'B', '705008': 'B', '558407': 'F', '470174': 'D'}"
URJ7DTFV,"{'454386': 'D', '919872': 'B', '948365': 'C', '344067': 'C'}"
2KTIUFG6,"{'460225': 'D', '570266': 'D', '279278': 'D', '948365': 'D'}"
399KY63H,"{'409004': 'D', '570266': 'F', '344067': 'A', '919872': 'F'}"
6WZWHUEL,"{'627876': 'A', '453500': 'D', '106105': 'D', '279278': 'B'}"
K3IDM2BZ,"{'216991': 'B', '524163': 'C', '344067': 'D', '379942': 'B'}"
L5OMW5IZ,"{'408132': 'A', '836438': 'F', '344067': 'D', '409004': 'F'}"
K0055AJ5,"{'216991': 'C', '106105': 'D', '948365': 'C', '279278': 'A'}"
7GFUJI2E,"{'270044': 'B', '454386': 'D', '182122': 'A', '705008': 'D'}"
2464S9E7,"{'921007': 'A', '379942': 'B', '344067': 'C', '836438': 'B'}"
RZCLT8EN,"{'498747': 'D', '470174': 'D', '453500': 'D', '483873': 'F'}"
9UC1BGAT,"{'627876': 'A', '453500': 'B', '836438': 'B', '613772': 'D'}"
WBKELZPZ,"{'483873': 'D', '408132': 'A', '460225': 'C', '613772': 'B'}"
SICKB694,"{'460225': 'B', '665858': 'C', '990961': 'A', '524163': 'B'}"
T8HFYGEY,"{'836438': 'D', '483873': 'D', '627876': 'D', '990961': 'D'}"
RVNZEW60,"{'344067': 'C', '570266': 'B', '454386': 'D', '270044': 'D'}"
HVIAG3H6,"{'106105': 'A', '483873': 'A', '665858': 'C', '948365': 'B'}"
XRB5A8DF,"{'921007': 'C', '627876': 'D', '408132': 'F', '454386': 'D'}"
9KU46REG,"{'990961': 'C', '131453': 'F', '379942': 'F', '408132': 'C'}"
5EIQGXFS,"{'379942': 'B', '665858': 'D', '990961': 'F', '453500': 'B'}"
11NL4JRD,"{'460225': 'B', '470174': 'C', '570266': 'F', '453500': 'A'}"
NB4LEQ60,"{'216991': 'F', '453500': 'D', '990961': 'C', '948365': 'B'}"
SDMW6OX0,"{'558407': 'B', '379942': 'F', '665858': 'B', '948365': 'B'}"
QFLS1PXX,"{'921007': 'F', '279278': 'C', '836438': 'C', '460225': 'C'}"
DGAL2N7B,"{'498747': 'A', '836438': 'B', '470174': 'D', '460225': 'B'}"
G4S3Z5ZI,"{'270044': 'C', '558407': 'A', '524163': 'D', '919872': 'D'}"
R5EC4R0P,"{'665858': 'B', '270044': 'B', '464821': 'D', '685089': 'F'}"
MRNJFLN9,"{'279278': 'F', '524163': 'F', '921007': 'F', '613772': 'D'}"
NMFL3SZA,"{'454386': 'C', '524163': 'C', '182122': 'D', '498747': 'F'}"
MBWQSFTF,"{'483873': 'F', '990961': 'D', '131453': 'A', '409004': 'C'}"
HP6CSEGC,"{'524163': 'D', '379942': 'B', '665858': 'B', '182122': 'C'}"
SMP55HY1,"{'318086': 'C', '558407': 'F', '464821': 'B', '705008': 'A'}"
AEX84DGX,"{'408132': 'B', '836438': 'C', '379942': 'D', '990961': 'B'}"
VRU7JL51,"{'948365': 'A', '270044': 'D', '731355': 'D', '318086': 'D'}"
